ID do Chamado;Projeto;Assunto;URL
235911;Migrador iP3-SAJ;Lançamento de movimentação de processo migrado no PG.;https://redmine.tjce.jus.br//issues/235911
235176;Migrador iP3-SAJ;Lançamento de movimentação de processo migrado no PG.;https://redmine.tjce.jus.br//issues/235176
234895;Migrador iP3-SAJ;Lançamento de movimentação de processo migrado no PG.;https://redmine.tjce.jus.br//issues/234895
234873;Migrador iP3-SAJ;Lançamento de movimentação de processo migrado no PG.;https://redmine.tjce.jus.br//issues/234873
234217;Migrador iP3-SAJ;Lançamento de movimentação de processo migrado no PG.;https://redmine.tjce.jus.br//issues/234217
221022;Migrador iP3-SAJ;Lançamento de movimentação de migração no SAJPG do processo 0025631-02.2011.8.06.0071;https://redmine.tjce.jus.br//issues/221022
218728;Migrador iP3-SAJ;Erro de Multimídia. ;https://redmine.tjce.jus.br//issues/218728
204771;Migrador iP3-SAJ;Lançamento de movimentação de migração no SAJPG;https://redmine.tjce.jus.br//issues/204771
86980;Migrador iP3-SAJ;Execução do Parecer Conjunto (CPA 8510422-90.2023.8.06.0000) ;https://redmine.tjce.jus.br//issues/86980
