ID do Chamado;Projeto;Assunto;URL
226114;PJe;Lançamento de Movimentação e Flag no processo de nº 0201794-28.2024.8.06.0151;https://redmine.tjce.jus.br//issues/226114
224918;Migrador iP3-SAJ;[Monitoramento] Lançamento da movimentação, status e flag - Processo nº 0039652-33.2013.8.06.0064;https://redmine.tjce.jus.br//issues/224918
224362;Migrador iP3-SAJ;Inclusão na fila de grau de recurso ;https://redmine.tjce.jus.br//issues/224362
224130;Migrador iP3-SAJ;Inclusão na fila de grau de recurso;https://redmine.tjce.jus.br//issues/224130
223873;PJe;Inclusão do processo 0003779-25.2017.8.06.0098 na fila de grau recurso. ;https://redmine.tjce.jus.br//issues/223873
